Región,Productos seleccionados,Unidad de medida,Date,Price,product_id
Noreste,Harina de trigo común,kg,2017-10-01,11.1,39
Pampeana,Huevos de gallina,Docena,2017-10-01,33.28,47
Pampeana,Papa,kg,2017-10-01,14.92,77
Pampeana,Azúcar,kg,2017-10-01,19.73,17
Pampeana,Leche fresca entera sachet,Litro,2017-10-01,23.64,65
Pampeana,Lavandina,1.000 cc,2017-10-01,15.11,59
Pampeana,Jabón de tocador,125 g,2017-10-01,14.95,53
Pampeana,Detergente líquido,750 cc,2017-10-01,22.53,29
Noroeste,Lavandina,1.000 cc,2017-11-01,15.86,58
Cuyo,Fideos secos tipo guisero,500 g,2017-11-01,18.42,31
Cuyo,Arroz blanco simple,kg,2017-11-01,20.81,7
Cuyo,Harina de trigo común,kg,2017-11-01,10.51,37
Cuyo,Pan francés,kg,2017-11-01,29.35,67
Cuyo,Carne picada común,kg,2017-11-01,73.72,19
Noroeste,Jabón de tocador,125 g,2017-11-01,15.51,52
Noroeste,Detergente líquido,750 cc,2017-11-01,24.39,28
Noroeste,Aceite de girasol,"1,5 litros",2017-11-01,54.96,4
Noroeste,Papa,kg,2017-11-01,13.47,76
Noroeste,Huevos de gallina,Docena,2017-11-01,30.99,46
Noroeste,Leche fresca entera sachet,Litro,2017-11-01,23.2,64
Noroeste,Pollo entero,kg,2017-11-01,39.99,82
Noroeste,Carne picada común,kg,2017-11-01,85.22,22
Noroeste,Fideos secos tipo guisero,500 g,2017-11-01,13.96,34
Noroeste,Arroz blanco simple,kg,2017-11-01,19.81,10
Cuyo,Pollo entero,kg,2017-11-01,39.76,79
Noroeste,Azúcar,kg,2017-11-01,17.36,16
Cuyo,Leche fresca entera sachet,Litro,2017-11-01,24.8,61
Noroeste,Harina de trigo común,kg,2017-11-01,10.81,40
Cuyo,Papa,kg,2017-11-01,17.28,73
Patagonia,Jabón de tocador,125 g,2017-11-01,15.58,54
Patagonia,Lavandina,1.000 cc,2017-11-01,17.44,60
Patagonia,Detergente líquido,750 cc,2017-11-01,35.75,30
Patagonia,Azúcar,kg,2017-11-01,22.95,18
Patagonia,Papa,kg,2017-11-01,22.3,78
Patagonia,Huevos de gallina,Docena,2017-11-01,44.51,48
